category,question_text,correct_option,wrong_option_1,wrong_option_2,explanation
"M1","Which word contains a prefix?","Unhappy","Understand","Uncle","💡 Hint: စကားလုံးတစ်လုံးရဲ့ ရှေ့မှာဆက်ပြီး အဓိပ္ပာယ်ကို ပြောင်းလဲစေတဲ့ အစိတ်အပိုင်း (prefix) ကို ရှာပါ။ (ဥပမာ - un, dis, re)"
"M1","Which of the following uses a negative prefix?","Disappear","Discuss","Display","💡 Hint: စကားလုံးတစ်လုံးရဲ့ ရှေ့မှာဆက်ပြီး အဓိပ္ပာယ်ကို ပြောင်းလဲစေတဲ့ အစိတ်အပိုင်း (prefix) ကို ရှာပါ။ (ဥပမာ - un, dis, re)"
"M1","Identify the word where the prefix changes the meaning to 'again'.","Rewrite","Remember","Require","💡 Hint: စကားလုံးတစ်လုံးရဲ့ ရှေ့မှာဆက်ပြီး အဓိပ္ပာယ်ကို ပြောင်းလဲစေတဲ့ အစိတ်အပိုင်း (prefix) ကို ရှာပါ။ (ဥပမာ - un, dis, re)"
"M1","Which word contains a suffix that makes it an adjective?","Beautiful","Beauty","Beautify","💡 Hint: စကားလုံးအနောက်မှာဆက်ပြီး word class (noun, verb, adj) ကို ပြောင်းလဲပေးတဲ့ အစိတ်အပိုင်း (suffix) ကို သတိပြုပါ။"
"M1","Which word uses a suffix to form a noun?","Happiness","Happy","Happily","💡 Hint: စကားလုံးအနောက်မှာဆက်ပြီး word class (noun, verb, adj) ကို ပြောင်းလဲပေးတဲ့ အစိတ်အပိုင်း (suffix) ကို သတိပြုပါ။"
"M1","Identify the word ending in a suffix that creates an adverb.","Quickly","Quickness","Quicken","💡 Hint: စကားလုံးအနောက်မှာဆက်ပြီး word class (noun, verb, adj) ကို ပြောင်းလဲပေးတဲ့ အစိတ်အပိုင်း (suffix) ကို သတိပြုပါ။"
"M1","Which of the following is a correct collocation?","Make a mistake","Do a mistake","Have a mistake","💡 Hint: English မှာ တွဲသုံးလေ့ရှိတဲ့ စကားလုံးအတွဲအစပ် (collocation) တွေကို မှတ်ထားပါ။ 'Make' သည် အသစ်ဖန်တီးခြင်းကို ပြပြီး 'Do' သည် လုပ်ဆောင်ချက်ကို ပြပါတယ်။"
"M1","Choose the correct verb to complete the collocation: _____ your homework.","Do","Make","Create","💡 Hint: English မှာ တွဲသုံးလေ့ရှိတဲ့ စကားလုံးအတွဲအစပ် (collocation) တွေကို မှတ်ထားပါ။ 'Make' သည် အသစ်ဖန်တီးခြင်းကို ပြပြီး 'Do' သည် လုပ်ဆောင်ချက်ကို ပြပါတယ်။"
"M1","Which phrase is a strong natural collocation?","Take a photo","Do a photo","Make a photo","💡 Hint: English မှာ တွဲသုံးလေ့ရှိတဲ့ စကားလုံးအတွဲအစပ် (collocation) တွေကို မှတ်ထားပါ။ 'Make' သည် အသစ်ဖန်တီးခြင်းကို ပြပြီး 'Do' သည် လုပ်ဆောင်ချက်ကို ပြပါတယ်။"
"M1","Which word is the superordinate (general category) for apple, banana, and orange?","Fruit","Food","Vegetable","💡 Hint: အုပ်စုတစ်ခုလုံးကို ကိုယ်စားပြုတဲ့ ယေဘုယျဝေါဟာရ (superordinate) နဲ့ အဲ့ဒီအောက်က အသေးစိတ်အရာတွေ (hyponyms) ရဲ့ ဆက်စပ်မှုကို စဉ်းစားပါ။"
