category,question_text,correct_option,wrong_option_1,wrong_option_2,explanation
"M1","Which pair of words is a minimal pair?","ship / sheep","shop / ship","sheep / keep","အသံထွက်တစ်ခုတည်းသာ ကွာခြားပြီး ကျန်တဲ့အသံတွေတူတဲ့ စကားလုံးအတွဲ (minimal pairs) ကို ရွေးချယ်ပါ။"
"M1","Identify the minimal pair.","bat / bet","bat / cat","bet / bed","အသံထွက်တစ်ခုတည်းသာ ကွာခြားပြီး ကျန်တဲ့အသံတွေတူတဲ့ စကားလုံးအတွဲ (minimal pairs) ကို ရွေးချယ်ပါ။"
"M1","What is the definition of a minimal pair?","Words that differ by only one phoneme.","Words that sound exactly the same.","Words that have the same spelling.","အသံထွက်တစ်ခုတည်းသာ ကွာခြားပြီး ကျန်တဲ့အသံတွေတူတဲ့ စကားလုံးအတွဲ (minimal pairs) ကို ရွေးချယ်ပါ။"
"M1","Which syllable is stressed in the word 'PHOTOGRAPH'?","First","Second","Third","စကားလုံးတစ်လုံးမှာ အသံကို ပိုဖိပြီး (stress) ရွတ်ဆိုရတဲ့ အပိုင်း (syllable) ကို ခွဲခြားပါ။"
"M1","Identify the stressed syllable in 'phoTOGRAPHY'.","Second","First","Third","စကားလုံးတစ်လုံးမှာ အသံကို ပိုဖိပြီး (stress) ရွတ်ဆိုရတဲ့ အပိုင်း (syllable) ကို ခွဲခြားပါ။"
"M1","Which word has stress on the second syllable?","Banana","Apple","Water","စကားလုံးတစ်လုံးမှာ အသံကို ပိုဖိပြီး (stress) ရွတ်ဆိုရတဲ့ အပိုင်း (syllable) ကို ခွဲခြားပါ။"
"M1","In a normal sentence, which words are usually stressed?","Content words (nouns, main verbs)","Grammar words (prepositions, articles)","Pronouns","ဝါကျတစ်ခုမှာ အဓိပ္ပာယ်ကို အဓိကသယ်ဆောင်တဲ့ (content words) တွေကို ပိုဖိပြီး (sentence stress) ပြောလေ့ရှိပါတယ်။"
"M1","Which word would normally be stressed in 'I am waiting for a bus'?","Waiting","Am","For","ဝါကျတစ်ခုမှာ အဓိပ္ပာယ်ကို အဓိကသယ်ဆောင်တဲ့ (content words) တွေကို ပိုဖိပြီး (sentence stress) ပြောလေ့ရှိပါတယ်။"
"M1","Why do we use sentence stress?","To highlight the most important information.","To make the sentence longer.","To practice individual sounds.","ဝါကျတစ်ခုမှာ အဓိပ္ပာယ်ကို အဓိကသယ်ဆောင်တဲ့ (content words) တွေကို ပိုဖိပြီး (sentence stress) ပြောလေ့ရှိပါတယ်။"
"M1","Which intonation pattern is typical for a Wh- question?","Falling","Rising","Fall-Rise","မေးခွန်းအမျိုးအစားပေါ်မူတည်ပြီး အသံအတက်အကျ (intonation) ကွာခြားပါတယ်။ Wh- questions တွေမှာ အသံကျ (falling intonation) သုံးလေ့ရှိပါတယ်။"
"M1","What intonation is most common for Yes/No questions?","Rising","Falling","Flat","Yes/No မေးခွန်းတွေမှာ အသံတက် (rising intonation) ကို သုံးလေ့ရှိတာ သတိပြုပါ။"
"M1","What is the main function of intonation?","To show the speaker's attitude or emotion.","To change the tense of the verb.","To link words together.","စကားပြောသူရဲ့ ခံစားချက် သို့မဟုတ် ရည်ရွယ်ချက်ကို ပြသဖို့ အသံအတက်အကျ (intonation) ကို သုံးပါတယ်။"
"M1","When a consonant sound joins to a vowel sound in the next word, it is called:","Linking","Assimilation","Elision","စကားလုံးတစ်လုံးရဲ့ အဆုံးက ဗျည်းသံနဲ့ နောက်စကားလုံးရဲ့ အစက သရသံ ဆက်သွားတာကို Linking လို့ ခေါ်ပါတယ်။"
"M1","Which is an example of linking?","an_apple","good_boy","hot_dog","စကားလုံးတစ်လုံးရဲ့ အဆုံးက ဗျည်းသံနဲ့ နောက်စကားလုံးရဲ့ အစက သရသံ ဆက်သွားတာကို Linking လို့ ခေါ်ပါတယ်။"
"M1","What happens in 'elision'?","A sound is left out.","A new sound is added.","A sound changes to match another.","စကားမြန်မြန်ပြောတဲ့အခါ အချို့အသံတွေ ပျောက်သွားတာကို Elision လို့ ခေါ်ပါတယ်။"
"M1","'You should see a doctor.' What is the function of this sentence?","Advising","Requesting","Apologizing","စကားပြောဆိုရာမှာ သုံးနှုန်းတဲ့ ဝါကျရဲ့ အဓိကရည်ရွယ်ချက် (function) ကို ခွဲခြားပါ။ (ဥပမာ - အကြံပေးခြင်း)"
"M1","What is the function of 'Could you open the window, please?'","Requesting","Complaining","Suggesting","စကားပြောဆိုရာမှာ သုံးနှုန်းတဲ့ ဝါကျရဲ့ အဓိကရည်ရွယ်ချက် (function) ကို ခွဲခြားပါ။ (ဥပမာ - တောင်းဆိုခြင်း)"
"M1","'I am really sorry I am late.' What is the function?","Apologizing","Inviting","Offering","စကားပြောဆိုရာမှာ သုံးနှုန်းတဲ့ ဝါကျရဲ့ အဓိကရည်ရွယ်ချက် (function) ကို ခွဲခြားပါ။ (ဥပမာ - တောင်းပန်ခြင်း)"
"M1","Which exponent matches the function of 'suggesting'?","Let's go to the park.","You must go to the park.","I went to the park.","Function တစ်ခုကို ဖော်ပြဖို့ သုံးတဲ့ တိကျတဲ့ စကားလုံး/ဝါကျတည်ဆောက်ပုံ (exponent) ကို ရွေးချယ်ပါ။"
"M1","Identify the exponent for 'offering help'.","Can I carry that for you?","Give me that bag.","Are you carrying a bag?","Function တစ်ခုကို ဖော်ပြဖို့ သုံးတဲ့ တိကျတဲ့ စကားလုံး/ဝါကျတည်ဆောက်ပုံ (exponent) ကို ရွေးချယ်ပါ။"
"M1","Which phrase is an exponent for 'agreeing'?","That's exactly how I feel.","I am not sure about that.","I don't think so.","Function တစ်ခုကို ဖော်ပြဖို့ သုံးတဲ့ တိကျတဲ့ စကားလုံး/ဝါကျတည်ဆောက်ပုံ (exponent) ကို ရွေးချယ်ပါ။"
"M1","Reading quickly to find the main idea of a text is called:","Skimming","Scanning","Extensive reading","စာပိုဒ်တစ်ပိုဒ်လုံးရဲ့ အဓိကအကြောင်းအရာ (main idea) ကို အကြမ်းဖျင်းသိဖို့ အမြန်ဖတ်တာကို Skimming လို့ ခေါ်ပါတယ်။"
