"category","question_text","correct_option","wrong_option_1","wrong_option_2","explanation"
"M3","What is it called when a teacher asks questions to get students to provide the target vocabulary, rather than just telling them?","Eliciting","Prompting","Echoing","ဆရာက အဖြေကို တိုက်ရိုက်မပြောပြဘဲ ကျောင်းသားတွေ ကိုယ်တိုင် စဉ်းစားပြီး အဖြေထုတ်လာအောင် မေးခွန်းတွေမေးပြီး ဆွဲထုတ်တဲ့ နည်းလမ်းကို Eliciting လို့ခေါ်ပါတယ်။"
"M3","Instead of writing the grammar rule on the board, the teacher asks, 'What comes after the subject here?' This is an example of:","Eliciting","Drilling","Concept checking","ကျောင်းသားတွေ ဘာသိထားပြီးပြီလဲဆိုတာကို သိဖို့နဲ့ သူတို့ကိုယ်တိုင် ပါဝင်လာအောင် တွန်းအားပေးဖို့အတွက် ဆရာတွေက Eliciting (အဖြေဆွဲထုတ်ခြင်း) ကို သုံးလေ့ရှိပါတယ်။"
"M3","Why is eliciting a useful technique in the classroom?","It keeps learners active and helps the teacher check what they already know.","It makes the teacher's talking time longer.","It is the best way to correct mistakes.","Eliciting လုပ်ခြင်းအားဖြင့် ကျောင်းသားတွေက သင်ခန်းစာမှာ ပိုမိုတက်ကြွစွာ ပါဝင်လာပြီး သင်ယူမှုဖြစ်စဉ်ကို သူတို့ကိုယ်တိုင် တည်ဆောက်နိုင်ပါတယ်။"
"M3","When a student is struggling to find a word, and the teacher gives them the first letter to help them, the teacher is:","Prompting","Eliciting","Recasting","ကျောင်းသား အဖြေရှာရခက်နေတဲ့အခါ ဆရာက အဖြေအပြည့်အစုံ မပြောပြဘဲ သဲလွန်စ (သို့) အရိပ်အမြွက်လေးပေးပြီး ကူညီတာကို Prompting လို့ခေါ်ပါတယ်။"
"M3","A student hesitates. The teacher points to a picture on the board to help them remember the word. This action is:","Prompting","Concept checking","Assessing","Prompting ဆိုတာ စကားလုံးပဲ ဖြစ်စရာမလိုပါဘူး။ လက်ဟန်ခြေဟန်၊ ရုပ်ပုံ သို့မဟုတ် အသံထွက်ရဲ့ အစပိုင်းလေးကို ပြောပြပြီး သတိရအောင် ကူညီပေးတာမျိုးလည်း ဖြစ်နိုင်ပါတယ်။"
"M3","What is the main purpose of prompting a learner?","To guide them to self-correct or find the answer without giving it directly.","To show them they are completely wrong.","To test their listening skills.","ကျောင်းသားကို အဖြေတန်းပေးလိုက်တာထက် အရိပ်အမြွက် (Prompt) လေးပေးပြီး သူတို့ကိုယ်တိုင် ပြန်စဉ်းစားနိုင်အောင် ကူညီခြင်းက မှတ်ဉာဏ်ကို ပိုခိုင်မြဲစေပါတယ်။"
"M3","After teaching 'I used to play tennis', the teacher asks, 'Do I play tennis now?' This is a:","Concept Checking Question (CCQ)","Instruction Checking Question (ICQ)","Prompt","သင်ပေးလိုက်တဲ့ သဒ္ဒါ သို့မဟုတ် ဝေါဟာရရဲ့ အဓိပ္ပာယ်ကို ကျောင်းသားတွေ တကယ်နားလည်သလားဆိုတာ သေချာအောင် မေးတဲ့ မေးခွန်းတိုလေးတွေကို Concept Checking Question (CCQ) လို့ ခေါ်ပါတယ်။"
"M3","Which of the following is NOT a good characteristic of a CCQ?","It uses language that is more difficult than the target language.","It requires a simple 'yes' or 'no' answer.","It checks the core meaning of the new word.","Concept Checking Question (CCQ) မေးတဲ့အခါ မေးခွန်းကိုယ်တိုင်က ရှင်းလင်းလွယ်ကူနေရပါမယ်။ သင်ထားတဲ့ စကားလုံးထက် ခက်ခဲတဲ့ စကားလုံးတွေ မသုံးရပါဘူး။"
"M3","Why is asking 'Do you understand?' generally an ineffective way to check understanding?","Because learners might say 'yes' even if they don't understand to avoid embarrassment.","Because it takes too much time.","Because it is an open-ended question.","'နားလည်လား' လို့မေးမယ့်အစား CCQ တွေသုံးပြီး တိကျတဲ့မေးခွန်းလေးတွေ မေးခြင်းကသာ ကျောင်းသားတွေရဲ့ တကယ့်နားလည်မှုကို အမှန်တကယ် စစ်ဆေးနိုင်ပါတယ်။"
"M3","After explaining a game, the teacher asks, 'Are you working alone or in pairs?' This is an:","Instruction Checking Question (ICQ)","Concept Checking Question (CCQ)","Eliciting question","လေ့ကျင့်ခန်းမစခင် ဆရာပေးလိုက်တဲ့ ညွှန်ကြားချက် (Instructions) တွေကို ကျောင်းသားတွေ သေချာနားလည်ရဲ့လားလို့ ပြန်စစ်ဆေးတဲ့ မေးခွန်းကို ICQ လို့ခေါ်ပါတယ်။"
